2025,draft,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
26,26,BOS,Payton Pritchard,Oregon,6,368,7685,3513,1042,982,0.453,0.394,0.856,20.9,9.5,2.8,2.7,22.9,0.143,1.2,6.3
27,27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,0.758,,0.444,8.6,3,2.8,0.2,2,0.133,-1.5,0.1
28,28,LAL,Jaden McDaniels,Washington,6,386,11085,4096,1621,610,0.485,0.355,0.761,28.7,10.6,4.2,1.6,19.5,0.084,-1.7,0.9
29,29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,0.387,0.333,0.747,14.2,5.5,1.7,1.9,2.9,0.045,-2.6,-0.5
30,30,BOS,Desmond Bane,TCU,6,334,9962,5983,1534,1274,0.471,0.406,0.888,29.8,17.9,4.6,3.8,27.2,0.131,2.3,10.7
,,,Round 2,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,0.474,0.143,0.654,5.1,1.9,1.4,0.1,0.2,0.058,-6.3,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,4,177,3753,1373,489,518,0.372,0.31,0.793,21.2,7.8,2.8,2.9,-0.2,-0.002,-4.6,-2.4
35,35,SAC,Xavier Tillman Sr.,Michigan State,6,269,4266,1418,1001,322,0.508,0.251,0.577,15.9,5.3,3.7,1.2,10.2,0.115,-0.1,2.1
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,5,156,2964,949,376,304,0.472,0.407,0.747,19,6.1,2.4,1.9,5,0.081,-1.9,0.1
38,38,UTA,Saben Lee,Vanderbilt,4,134,1943,697,260,378,0.421,0.271,0.734,14.5,5.2,1.9,2.8,3.5,0.085,-1.4,0.3
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,6,314,6930,2708,881,1473,0.491,0.312,0.841,22.1,8.6,2.8,4.7,16,0.111,-0.4,2.9
42,42,NOP,Nick Richards,Kentucky,6,278,4869,1957,1590,162,0.634,0.2,0.735,17.5,7,5.7,0.6,13.5,0.133,-2.6,-0.7
43,43,SAC,Jahmi'us Ramsey,Texas Tech,3,39,349,147,45,21,0.416,0.271,0.68,8.9,3.8,1.2,0.5,-0.1,-0.008,-5.4,-0.3
44,44,CHI,Marko Simonovic,,2,16,55,23,12,0,0.273,0.222,0.692,3.4,1.4,0.8,0,0,-0.026,-12.3,-0.1
45,45,MIL,Jordan Nwora,Louisville,4,206,3359,1564,659,216,0.433,0.376,0.807,16.3,7.6,3.2,1,3,0.043,-2.8,-0.7
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
