2025,draft,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
72,72,NJN,Andrew Moten,Florida,,,,,,,,,,,,,,,,,
73,73,SAS,Todd May,Pikeville College,,,,,,,,,,,,,,,,,
74,74,SAC,Joe Arlauckas,Niagara University,1,9,85,34,13,8,0.326,,0.75,9.4,3.8,1.4,0.9,-0.1,-0.045,-6.8,-0.1
75,75,CLE,Chris Dudley,Yale,16,886,16321,3473,5457,375,0.412,0,0.458,18.4,3.9,6.2,0.4,26.2,0.077,-3,-4.2
76,76,PHO,Steve Beck,Arizona State,,,,,,,,,,,,,,,,,
77,77,DEN,David Boone,Marquette,,,,,,,,,,,,,,,,,
78,78,SEA,Todd Linder,University of Tampa,,,,,,,,,,,,,,,,,
79,79,CHI,Jack Haley,UCLA,9,341,3288,1180,922,82,0.425,0,0.655,9.6,3.5,2.7,0.2,2.9,0.042,-6.7,-3.9
80,80,CLE,Carven Holcombe,TCU,,,,,,,,,,,,,,,,,
81,81,WSB,Scott Thompson,University of San Diego,,,,,,,,,,,,,,,,,
82,82,HOU,Joe Niego,Lewis (IL),,,,,,,,,,,,,,,,,
83,83,GSW,Bennie Bolton,NC State,,,,,,,,,,,,,,,,,
84,84,UTA,Reuben Holmes,Alabama State University,,,,,,,,,,,,,,,,,
85,85,PHI,Brian Rahilly,Tulsa,,,,,,,,,,,,,,,,,
86,86,POR,Norwood Barber,Florida State,,,,,,,,,,,,,,,,,
87,87,MIL,Darryl Bedford,Austin Peay State University,,,,,,,,,,,,,,,,,
88,88,DET,Dave Popson,UNC,3,41,196,76,46,13,0.405,0,0.75,4.8,1.9,1.1,0.3,-0.1,-0.033,-7.7,-0.3
89,89,DAL,David Johnson,Oklahoma,,,,,,,,,,,,,,,,,
90,90,ATL,Theofanis Christodoulou,,,,,,,,,,,,,,,,,,
91,91,BOS,Darryl Kennedy,Oklahoma,,,,,,,,,,,,,,,,,
92,92,LAL,Ralph Tally,Norfolk State,,,,,,,,,,,,,,,,,
,,,Round 5,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
93,93,LAC,Chad Kessler,Georgia,,,,,,,,,,,,,,,,,
94,94,NJN,James Blackmon,Kentucky,,,,,,,,,,,,,,,,,
95,95,NYK,Glen Clem,Vanderbilt,,,,,,,,,,,,,,,,,
96,96,SAS,Dennis Willliams,Georgia,,,,,,,,,,,,,,,,,
97,97,SAC,Vernon Carr,Michigan State,,,,,,,,,,,,,,,,,
98,98,CLE,Carl Lott,TCU,,,,,,,,,,,,,,,,,
99,99,PHO,Brent Counts,University of the Pacific,,,,,,,,,,,,,,,,,
100,100,DEN,Ron Grandison,New Orleans,4,105,872,254,163,58,0.404,0.167,0.713,8.3,2.4,1.6,0.6,1.2,0.064,-2.6,-0.1
101,101,SEA,Michael Tait,Clemson,,,,,,,,,,,,,,,,,
102,102,CHI,Anthony Wilson,LSU,,,,,,,,,,,,,,,,,
103,103,IND,Mike Milling,UNC Charlotte,,,,,,,,,,,,,,,,,
104,104,HOU,Andre LaFleur,Northeastern University,,,,,,,,,,,,,,,,,
105,105,GSW,Terry Williams,SMU,,,,,,,,,,,,,,,,,
106,106,WSB,Patrick Fairs,Texas,,,,,,,,,,,,,,,,,
107,107,UTA,Bart Kofoed,University of Nebraska at Kearney,5,111,702,162,56,108,0.387,0.188,0.614,6.3,1.5,0.5,1,0,0.002,-5.1,-0.6
108,108,PHI,Frank Ross,American University,,,,,,,,,,,,,,,,,
109,109,POR,David Moss,Tulsa,,,,,,,,,,,,,,,,,
110,110,MIL,Brian Vaughns,UC Santa Barbara,,,,,,,,,,,,,,,,,
111,111,DET,Gerry Wright,Iowa,,,,,,,,,,,,,,,,,
112,112,DAL,Sam Hill,Iowa State,,,,,,,,,,,,,,,,,
113,113,ATL,Jose Antonio Montero,,,,,,,,,,,,,,,,,,
114,114,BOS,Dave Butler,California,,,,,,,,,,,,,,,,,
,,,Round 6,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
115,115,LAL,Kenny Travis,New Mexico State,,,,,,,,,,,,,,,,,
116,116,LAC,Martin Nessley,Duke,1,44,336,48,82,16,0.385,,0.444,7.6,1.1,1.9,0.4,-0.1,-0.014,-8.2,-0.5
117,117,NYK,Howard Triche,Syracuse,,,,,,,,,,,,,,,,,
118,118,NJN,Perry Bromwell,Penn,,,,,,,,,,,,,,,,,
119,119,SAS,Ricky Brown,University of South Alabama,,,,,,,,,,,,,,,,,
120,120,SAC,Daryl Thomas,Indiana,,,,,,,,,,,,,,,,,
121,121,CLE,Harold Jensen,Villanova,,,,,,,,,,,,,,,,,
122,122,PHO,Marcel Boyce,University of Akron,,,,,,,,,,,,,,,,,
123,123,DEN,Kelvin Scarborough,New Mexico,,,,,,,,,,,,,,,,,
124,124,SEA,Tom Gneiting,BYU,,,,,,,,,,,,,,,,,
125,125,CHI,Doug Altenberger,Illinois,,,,,,,,,,,,,,,,,
126,126,IND,Gary Graham,UNLV,,,,,,,,,,,,,,,,,
127,127,GSW,Šarūnas Marčiulionis,,7,363,8123,4631,819,807,0.505,0.369,0.768,22.4,12.8,2.3,2.2,20,0.118,0.3,4.7
128,128,WSB,Dwayne Scholten,Washington State,,,,,,,,,,,,,,,,,
129,129,HOU,Fred Jenkins,Tennessee,,,,,,,,,,,,,,,,,
130,130,UTA,Art Sabb,Bloomfield College,,,,,,,,,,,,,,,,,
131,131,PHI,Tracy Foster,UAB,,,,,,,,,,,,,,,,,
132,132,POR,Bernard Jackson,Loyola Chicago,,,,,,,,,,,,,,,,,
133,133,MIL,Gay Elmore,Virginia Military Institute,,,,,,,,,,,,,,,,,
134,134,DET,Antoine Joubert,Michigan,,,,,,,,,,,,,,,,,
135,135,DAL,Quintan Gates,Texas-El Paso,,,,,,,,,,,,,,,,,
136,136,ATL,Riccardo Morandotti,,,,,,,,,,,,,,,,,,
137,137,BOS,Tim Naegeli,University of Wisconsin-Stevens Point,,,,,,,,,,,,,,,,,
138,138,LAL,Frank Ford,Auburn,,,,,,,,,,,,,,,,,
,,,Round 7,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
139,139,LAC,Henry Carr,Wichita State,,,,,,,,,,,,,,,,,
140,140,NJN,Frank Booker,Bowling Green,,,,,,,,,,,,,,,,,
141,141,NYK,Wayne Williams,Saint Joseph's,,,,,,,,,,,,,,,,,
142,142,SAS,Raynard Davis,Texas,,,,,,,,,,,,,,,,,
143,143,SAC,Scott Adubato,Upsala College,,,,,,,,,,,,,,,,,
144,144,CLE,Michael Foster,South Carolina,,,,,,,,,,,,,,,,,
145,145,PHO,Roy Singleton,Grand Canyon University,,,,,,,,,,,,,,,,,
146,146,DEN,Rowan Gomes,Hampton,,,,,,,,,,,,,,,,,
147,147,SEA,Mike Giomi,NC State,,,,,,,,,,,,,,,,,
148,148,CHI,Ervin Leavy,Central Michigan University,,,,,,,,,,,,,,,,,
149,149,IND,Montel Hatcher,UCLA,,,,,,,,,,,,,,,,,
150,150,WSB,Jamie Dixon,TCU,,,,,,,,,,,,,,,,,
151,151,HOU,Clarence Grier,Campbell,,,,,,,,,,,,,,,,,
152,152,GSW,Ronnie Leggette,West Virginia State University,,,,,,,,,,,,,,,,,
153,153,UTA,Keith Webster,Harvard University,,,,,,,,,,,,,,,,,
154,154,PHI,Eric Semisch,West Virginia,,,,,,,,,,,,,,,,,
155,155,POR,Kenny Stone,George Fox University,,,,,,,,,,,,,,,,,
156,156,DEN,Curtis Hunter,UNC,,,,,,,,,,,,,,,,,
157,157,DET,Mark Gottfried,Alabama,,,,,,,,,,,,,,,,,
158,158,DAL,Gerald White,Auburn,,,,,,,,,,,,,,,,,
159,159,ATL,Franjo Arapovic,,,,,,,,,,,,,,,,,,
160,160,BOS,Gerry Corcoran,Northeastern University,,,,,,,,,,,,,,,,,
161,161,LAL,Ron Vanderschaaf,Central Washington University,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Brad Daugherty,UNC,8,548,20029,10389,5227,2028,0.532,0.143,0.747,36.5,19,9.5,3.7,65.2,0.156,2.2,21.3
2,2,BOS,Len Bias,Maryland,,,,,,,,,,,,,,,,,
3,3,GSW,Chris Washburn,NC State,2,72,645,222,176,22,0.412,0,0.439,9,3.1,2.4,0.3,-0.6,-0.046,-7.4,-0.9
4,4,IND,Chuck Person,Auburn,13,943,28941,13858,4763,2645,0.458,0.362,0.723,30.7,14.7,5.1,2.8,38.9,0.065,-0.7,9.2
5,5,NYK,Kenny Walker,Kentucky,7,448,9050,3128,1793,299,0.485,0.206,0.749,20.2,7,4,0.7,17.9,0.095,-1.8,0.6
6,6,PHO,William Bedford,Memphis,6,238,2514,964,573,109,0.416,0.318,0.605,10.6,4.1,2.4,0.5,0.9,0.017,-4.8,-1.8
7,7,DAL,Roy Tarpley,Michigan,6,280,7476,3533,2803,292,0.483,0.176,0.744,26.7,12.6,10,1,19.8,0.127,-0.2,3.4
8,8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,0.446,0.289,0.72,30.9,13.8,4.3,3.9,65.8,0.101,1.9,30.3
9,9,CHI,Brad Sellers,Ohio State,6,398,7154,2509,1064,435,0.452,0.2,0.793,18,6.3,2.7,1.1,9.8,0.066,-2.2,-0.4
10,10,SAS,Johnny Dawkins,Duke,9,541,14859,5984,1336,2997,0.456,0.33,0.857,27.5,11.1,2.5,5.5,21.8,0.07,-0.9,4.2
11,11,DET,John Salley,Georgia Tech,11,748,16524,5228,3356,916,0.506,0.214,0.714,22.1,7,4.5,1.2,41.5,0.121,0.5,10.5
12,12,WSB,John Williams,LSU,8,435,10952,4406,2201,1262,0.451,0.225,0.704,25.2,10.1,5.1,2.9,19.9,0.087,1.2,8.8
13,13,NJN,Pearl Washington,Syracuse,3,194,4044,1660,370,733,0.452,0.184,0.746,20.8,8.6,1.9,3.8,1.9,0.023,-1.7,0.3
14,14,POR,Walter Berry,St. John's,3,205,4863,2882,971,292,0.539,0.2,0.638,23.7,14.1,4.7,1.4,8.2,0.081,-1,1.2
15,15,UTA,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,0.457,0.402,0.843,21.7,11.7,2.4,1.8,41.5,0.085,0.9,17.1
16,16,DEN,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,0.378,0.211,0.598,6.1,3,0.9,0.7,-0.3,-0.033,-6,-0.4
17,17,SAC,Harold Pressley,Villanova,4,299,6802,2702,1339,628,0.437,0.358,0.778,22.7,9,4.5,2.1,10,0.07,0.3,4
18,18,DEN,Mark Alarie,Duke,5,325,5500,2432,1120,363,0.475,0.252,0.775,16.9,7.5,3.4,1.1,8.4,0.073,-2.3,-0.5
19,19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,0.505,0.154,0.674,22.3,8.6,5.4,1.7,9.6,0.069,-1.3,1.2
20,20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,0.488,0.113,0.738,23.5,9.1,3.5,1.7,20.8,0.084,-1.4,1.7
21,21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,0.393,0.306,0.74,10.4,3.6,1.3,0.7,0.8,0.022,-2.8,-0.3
22,22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,0.435,0.379,0.889,28,11.1,2.5,6.5,30.4,0.087,-0.4,6.7
23,23,LAL,Ken Barlow,Notre Dame,,,,,,,,,,,,,,,,,
24,24,POR,Arvydas Sabonis,,7,470,11375,5629,3436,964,0.5,0.328,0.786,24.2,12,7.3,2.1,47.3,0.2,4.4,18.4
,,,Round 2,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
25,25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,0.158,3.7,31.1
26,26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,0.467,0.333,0.649,8.9,2.1,2.1,0.4,4,0.045,-5.3,-3.5
27,27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,0.521,0.231,0.584,31.7,7.3,13.1,1.8,89.8,0.15,0.9,21
28,28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,0.457,0.139,0.795,21.7,8.2,4.9,1.2,15.6,0.082,-2.7,-1.6
29,29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,0.461,0.336,0.81,24.5,11,2.2,1.5,50.3,0.085,-1.6,2.9
30,30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,0.443,0.343,0.65,25.7,5.9,4,6.1,50.2,0.118,3.3,27.2
31,31,PHO,Joe Ward,Georgia,,,,,,,,,,,,,,,,,
32,32,ATL,Cedric Henderson,Georgia,1,8,16,11,8,0,0.5,,1,2,1.4,1,0,0,-0.015,-8.6,0
33,33,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,0.468,0.208,0.736,25.5,11.8,5.8,0.9,24.7,0.068,-3.8,-7.6
34,34,SAC,Johnny Rogers,"University of California, Irvine",2,69,636,251,104,29,0.472,0,0.679,9.2,3.6,1.5,0.4,0.4,0.032,-4.8,-0.4
35,35,DAL,Milt Wagner,Louisville,2,53,496,215,35,76,0.422,0.296,0.875,9.4,4.1,0.7,1.4,0.4,0.039,-4,-0.2
36,36,WSB,Steve Mitchell,UAB,,,,,,,,,,,,,,,,,
37,37,POR,Panagiotis Fasoulas,NC State,,,,,,,,,,,,,,,,,
38,38,SEA,Lemone Lampley,DePaul,,,,,,,,,,,,,,,,,
39,39,PHO,Rafael Addison,Syracuse,6,379,5697,2186,780,339,0.449,0.282,0.772,15,5.8,2.1,0.9,4.9,0.041,-3.8,-2.5
40,40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,,,
41,41,DEN,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,0.455,0.251,0.762,20.6,10.5,3.8,1.8,12.3,0.076,0.2,4.2
42,42,ATL,Ron Kellogg,Kansas,,,,,,,,,,,,,,,,,
43,43,HOU,Dave Feitl,Texas-El Paso,5,275,3001,1192,815,125,0.433,0,0.751,10.9,4.3,3,0.5,1.4,0.022,-5.8,-2.9
44,44,PHI,David Wingate,Georgetown,15,740,13243,4166,1420,1376,0.445,0.272,0.738,17.9,5.6,1.9,1.9,11.7,0.042,-2.4,-1.2
45,45,MIL,Keith Smith,Loyola Marymount,1,42,461,138,32,43,0.38,0.333,0.75,11,3.3,0.8,1,0,-0.003,-5.5,-0.4
46,46,PHO,Jeff Hornacek,Iowa State,14,1077,33964,15659,3646,5281,0.496,0.403,0.877,31.5,14.5,3.4,4.9,108.9,0.154,2.9,42.1
47,47,NYK,Michael Jackson,Georgetown,3,89,888,188,70,198,0.369,0.273,0.675,10,2.1,0.8,2.2,-0.2,-0.011,-4.8,-0.6
,,,Round 3,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
48,48,SAS,Forrest McKenzie,Loyola Marymount,1,6,42,17,7,1,0.25,0.5,1,7,2.8,1.2,0.2,-0.2,-0.223,-16.8,-0.2
49,49,POR,Juden Smith,Texas-El Paso,,,,,,,,,,,,,,,,,
50,50,CLE,Kevin Henderson,Cal State Fullerton,2,22,235,65,24,34,0.393,0,0.607,10.7,3,1.1,1.5,-0.2,-0.038,-6.4,-0.3
51,51,GSW,Mike Williams,Bradley,1,21,102,15,23,2,0.333,0,0.5,4.9,0.7,1.1,0.1,0,0.012,-7.4,-0.1
52,52,CHI,Ricky Wilson,George Mason,1,24,420,125,27,69,0.391,0.385,0.725,17.5,5.2,1.1,2.9,0.3,0.032,-2.6,-0.1
53,53,SEA,Tod Murphy,"University of California, Irvine",5,191,4071,1049,941,183,0.454,0.29,0.679,21.3,5.5,4.9,1,8,0.095,-1.5,0.6
54,54,LAC,Dwayne Polee,Pepperdine,1,1,6,2,0,0,0.25,0,,6,2,0,0,0,-0.397,-22.3,0
55,55,PHO,Kenny Gattison,Old Dominion,9,494,9927,3923,2327,444,0.52,0.083,0.649,20.1,7.9,4.7,0.9,16.9,0.082,-2.4,-1.1
56,56,PHI,Keith Colbert,Virginia Tech,,,,,,,,,,,,,,,,,
57,57,SAC,Bruce Douglas,Illinois,1,8,98,14,14,17,0.292,0,0,12.3,1.8,1.8,2.1,-0.2,-0.082,-3,0
58,58,WSB,Dave Henderson,Duke,1,22,351,126,35,34,0.405,0,0.681,16,5.7,1.6,1.5,-0.4,-0.058,-7.1,-0.4
59,59,GSW,Wendell Alexis,Syracuse,,,,,,,,,,,,,,,,,
60,60,POR,Dražen Petrović,,4,290,7669,4461,669,701,0.506,0.437,0.841,26.4,15.4,2.3,2.4,21.5,0.134,0.8,5.4
61,61,UTA,John Shasky,Minnesota,3,136,1505,517,379,34,0.466,0,0.655,11.1,3.8,2.8,0.3,2.5,0.079,-3.4,-0.5
62,62,DAL,Anthony Welch,Illinois,,,,,,,,,,,,,,,,,
63,63,UTA,Bill Breeding,Rocky Mountain College,,,,,,,,,,,,,,,,,
64,64,DEN,Don Redden,LSU,,,,,,,,,,,,,,,,,
65,65,ATL,Dave Hoppen,Nebraska,6,169,2401,837,647,100,0.518,0.2,0.751,14.2,5,3.8,0.6,3.6,0.072,-4.2,-1.4
66,66,HOU,Anthony Bowie,Oklahoma,8,461,8349,2945,1021,840,0.475,0.318,0.824,18.1,6.4,2.2,1.8,12.3,0.07,-1.3,1.4
67,67,PHI,Ron Rowan,St. John's,1,7,16,12,1,1,0.444,1,0.75,2.3,1.7,0.1,0.1,0,0.084,8.5,0
68,68,MIL,Baskerville Holmes,Memphis,,,,,,,,,,,,,,,,,
69,69,LAL,Andre Turner,Memphis,6,170,2523,767,263,535,0.422,0.237,0.764,14.8,4.5,1.5,3.1,1.8,0.034,-2.3,-0.2
70,70,ATL,Jim Les,Bradley,7,321,4222,1210,396,930,0.397,0.396,0.818,13.2,3.8,1.2,2.9,8.1,0.092,-0.7,1.4
,,,Round 4,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
71,71,NYK,Calvin Thompson,Kansas,,,,,,,,,,,,,,,,,
72,72,IND,Derrick Taylor,LSU,,,,,,,,,,,,,,,,,
73,73,CLE,Warren Martin,UNC,,,,,,,,,,,,,,,,,
74,74,CHI,Scott Meents,Illinois,2,39,201,72,40,15,0.361,1,0.704,5.2,1.8,1,0.4,0.1,0.017,-1.6,0
75,75,GSW,Dan Bingenheimer,Missouri,,,,,,,,,,,,,,,,,
76,76,SEA,Michael Graham,Georgetown,,,,,,,,,,,,,,,,,
77,77,PHO,Grant Gondrezick,Pepperdine,2,91,1080,454,146,115,0.438,0.25,0.687,11.9,5,1.6,1.3,0.8,0.036,-3,-0.3
78,78,LAC,John Brownlee,Texas,,,,,,,,,,,,,,,,,
79,79,SAS,Carlos Briggs,Baylor,,,,,,,,,,,,,,,,,
80,80,SAC,Alvin Franklin,Houston,,,,,,,,,,,,,,,,,
81,81,NJN,Steve Hale,UNC,,,,,,,,,,,,,,,,,
82,82,WSB,Barry Mungar,St. Bonaventure,,,,,,,,,,,,,,,,,
83,83,POR,David Shaffer,Florida State,,,,,,,,,,,,,,,,,
84,84,UTA,Marty Embry,DePaul,,,,,,,,,,,,,,,,,
85,85,DAL,Myron Jackson,Little Rock,1,8,22,11,3,6,0.222,,0.875,2.8,1.4,0.4,0.8,0,-0.104,-5.6,0
86,86,DET,Chauncey Robinson,Mississippi State,,,,,,,,,,,,,,,,,
87,87,DEN,Anthony Watson,San Diego State,,,,,,,,,,,,,,,,,
88,88,ATL,Efrem Winters,Illinois,,,,,,,,,,,,,,,,,
89,89,HOU,Conner Henry,UC Santa Barbara,2,93,756,305,83,102,0.378,0.379,0.757,8.1,3.3,0.9,1.1,0.1,0.007,-3.8,-0.3
90,90,PHI,Wes Stallings,East Tennessee State University,,,,,,,,,,,,,,,,,
91,91,SAC,Bob Beecher,Virginia Tech,,,,,,,,,,,,,,,,,
92,92,LAL,Dale Blaney,West Virginia,,,,,,,,,,,,,,,,,
93,93,BOS,Tony Benford,Texas Tech,,,,,,,,,,,,,,,,,
,,,Round 5,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
94,94,NYK,Jerome Mincey,UAB,,,,,,,,,,,,,,,,,
95,95,IND,Richard Rellford,Michigan,1,4,42,16,7,1,0.625,,0.75,10.5,4,1.8,0.3,0,0.048,-1.8,0
96,96,CLE,Ben Davis,Gardner-Webb University,,,,,,,,,,,,,,,,,
97,97,GSW,Clinton Smith,Cleveland State University,2,46,386,134,60,49,0.43,0,0.714,8.4,2.9,1.3,1.1,0.3,0.035,-2.4,0
98,98,CHI,Jimmy Gilbert,Texas A&M,,,,,,,,,,,,,,,,,
99,99,SEA,Dominic Pressley,Boston College,1,13,124,23,15,26,0.29,0,0.556,9.5,1.8,1.2,2,-0.2,-0.069,-6.7,-0.1
100,100,LAC,Steffond Johnson,San Diego State,1,29,234,74,43,5,0.422,0,0.526,8.1,2.6,1.5,0.2,-0.2,-0.037,-9.8,-0.5
101,101,PHO,Greg Spurling,Carson-Newman College,,,,,,,,,,,,,,,,,
102,102,SAS,Earl Kelley,UConn,,,,,,,,,,,,,,,,,
103,103,SAC,Keith Morrison,Washington State,,,,,,,,,,,,,,,,,
104,104,WSB,Paul Fortier,Washington,,,,,,,,,,,,,,,,,
105,105,NJN,Archie Johnson,UAB,,,,,,,,,,,,,,,,,
106,106,POR,Jerry Adams,Oregon,,,,,,,,,,,,,,,,,
107,107,UTA,Kerry Boagni,Cal State Fullerton,,,,,,,,,,,,,,,,,
108,108,DAL,Jay Bilas,Duke,,,,,,,,,,,,,,,,,
109,109,DET,Clarence Hanley,Old Dominion,,,,,,,,,,,,,,,,,
110,110,DEN,Jon Collins,Eastern Illinois University,,,,,,,,,,,,,,,,,
111,111,ATL,Nicky Jones,VCU,,,,,,,,,,,,,,,,,
112,112,HOU,Andre Banks,Iowa,,,,,,,,,,,,,,,,,
113,113,PHI,Kevin Holmes,DePaul,,,,,,,,,,,,,,,,,
114,114,MIL,Bobby Deaton,Southwstern University,,,,,,,,,,,,,,,,,
115,115,LAL,Roger Harden,Kentucky,,,,,,,,,,,,,,,,,
116,116,BOS,Dave Colbert,Dayton,,,,,,,,,,,,,,,,,
,,,Round 6,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
117,117,NYK,Butch Wade,Michigan,,,,,,,,,,,,,,,,,
118,118,IND,Jeff Hall,Louisville,,,,,,,,,,,,,,,,,
119,119,CLE,Gilbert Wilburn,New Mexico State,,,,,,,,,,,,,,,,,
120,120,CHI,Pete Myers,Little Rock,9,377,6039,1804,671,807,0.421,0.219,0.668,16,4.8,1.8,2.1,5.8,0.046,-2.5,-0.8
121,121,GSW,Bobby Lee Hurt,Alabama,,,,,,,,,,,,,,,,,
122,122,SEA,Curtis Kitchen,South Florida,1,6,31,9,9,1,0.5,0,0.75,5.2,1.5,1.5,0.2,0.1,0.217,4.8,0.1
123,123,PHO,Jim McCaffrey,Holy Cross,,,,,,,,,,,,,,,,,
124,124,LAC,Tim Kempton,Notre Dame,8,280,3758,1259,795,307,0.481,0,0.677,13.4,4.5,2.8,1.1,3.3,0.042,-3.8,-1.7
125,125,SAS,Kevin Lewis,SMU,,,,,,,,,,,,,,,,,
126,126,SAC,John Flowers,UNLV,,,,,,,,,,,,,,,,,
127,127,NJN,Troy Webster,George Washington,,,,,,,,,,,,,,,,,
128,128,WSB,Lorenzo Duncan,Sam Houston State University,,,,,,,,,,,,,,,,,
129,129,POR,Tony Hampton,Montana State,,,,,,,,,,,,,,,,,
130,130,UTA,Chuck Everson,Villanova,,,,,,,,,,,,,,,,,
131,131,DAL,Greg Anderson,Lamar,,,,,,,,,,,,,,,,,
132,132,DET,Greg Grant,Utah State University,,,,,,,,,,,,,,,,,
133,133,DEN,Anthony Frederick,Pepperdine,3,147,1640,718,280,135,0.439,0.273,0.699,11.2,4.9,1.9,0.9,0.7,0.019,-2.5,-0.2
134,134,ATL,Alexander Volkov,,2,149,2453,1019,384,333,0.455,0.333,0.613,16.5,6.8,2.6,2.2,4.5,0.087,0.5,1.5
135,135,HOU,Robert Worthy,Chancellor University,,,,,,,,,,,,,,,,,
136,136,PHI,Andre McCloud,Seton Hall,,,,,,,,,,,,,,,,,
137,137,MIL,John Kimbrell,Lipscomb,,,,,,,,,,,,,,,,,
138,138,LAL,Walter Downing,Marquette,,,,,,,,,,,,,,,,,
139,139,BOS,Greg Wendt,Detroit Mercy,,,,,,,,,,,,,,,,,
,,,Round 7,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
140,140,NYK,Duane Kendall,South Carolina,,,,,,,,,,,,,,,,,
141,141,IND,Steve Woodside,Oregon State,,,,,,,,,,,,,,,,,
142,142,CLE,Ralph Dalton,Georgetown,,,,,,,,,,,,,,,,,
143,143,GSW,Steve Kenilvort,Santa Clara,,,,,,,,,,,,,,,,,
144,144,CHI,Robert Henderson,Michigan,,,,,,,,,,,,,,,,,
145,145,SEA,Glen McCants,Clemson,,,,,,,,,,,,,,,,,
146,146,LAC,Johnny Brown,New Mexico,,,,,,,,,,,,,,,,,
147,147,PHO,Damon Goodwin,Dayton,,,,,,,,,,,,,,,,,
148,148,SAS,Michael Anderson,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,
149,149,SAC,Ron Rankin,SE Missouri State,,,,,,,,,,,,,,,,,
150,150,WSB,Joe Price,Notre Dame,,,,,,,,,,,,,,,,,
151,151,NJN,Jim Dolan,Notre Dame,,,,,,,,,,,,,,,,,
152,152,POR,Randy Schiff,Linfield College,,,,,,,,,,,,,,,,,
153,153,UTA,Mark Mitchell,University of Hartford,,,,,,,,,,,,,,,,,
154,154,DAL,Kim Cooksey,Middle Tennessee,,,,,,,,,,,,,,,,,
