Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
326,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,0.306,0.9,2.9,0.316,0.8,2.6,0.294,0.389,0.6,0.7,0.889,0.6,1,1.6,2,0.2,0.3,1.1,1.2,4.9,
327,Sidy Cissoko,21,POR,SF,18,9,18.1,1.7,4.2,0.408,0.7,2.3,0.31,1,1.9,0.529,0.493,0.7,1,0.667,0.7,1.4,2.1,1.3,0.5,0.1,0.8,2.4,4.8,
328,KJ Simpson,23,CHO,PG,10,0,13.6,1.7,5,0.34,0.7,1.9,0.368,1,3.1,0.323,0.41,0.7,1,0.7,0.3,1.6,1.9,2.5,1,0,1.8,1.1,4.8,
329,Trey Alexander,22,NOP,SG,3,0,12.3,2,3,0.667,0.7,1,0.667,1.3,2,0.667,0.778,0,0,,0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.7,
330,Jaylen Clark,24,MIN,SG,20,0,14.9,1.6,3.8,0.421,0.8,2.1,0.366,0.9,1.8,0.486,0.52,0.8,1.2,0.625,1.1,1.2,2.3,0.5,0.8,0.1,0.3,1.7,4.7,
331,Oso Ighodaro,23,PHO,PF,23,5,17.4,2.1,3.6,0.59,0,0,0,2.1,3.6,0.598,0.59,0.4,1.1,0.385,0.8,2.7,3.5,1.7,0.7,0.6,1.2,2.5,4.7,
332,Jeremiah Robinson-Earl,25,IND,PF,17,3,17.6,1.7,4.9,0.349,0.5,1.9,0.242,1.2,2.9,0.42,0.398,0.8,0.8,0.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6,
333,Jarred Vanderbilt,26,LAL,PF,14,2,18.4,1.6,3.6,0.44,0.3,1,0.286,1.3,2.6,0.5,0.48,1.1,1.4,0.842,1.4,4.2,5.6,1.5,1,0.4,1.6,1.9,4.6,
334,Jabari Walker,23,PHI,PF,21,5,13.5,1.8,3.7,0.474,0.5,1.5,0.344,1.2,2.2,0.565,0.545,0.6,0.7,0.8,1.2,2.3,3.5,0.6,0.1,0.3,0.5,1.8,4.6,
335,Nicolas Batum,37,LAC,PF,23,2,19.5,1.4,3.8,0.379,1.3,3.6,0.378,0.1,0.2,0.4,0.557,0.3,0.3,0.857,0.5,2.2,2.7,0.8,0.9,0.4,0.7,2,4.5,
336,DeAndre Jordan,37,NOP,C,2,1,11.5,2,2.5,0.8,0,0,,2,2.5,0.8,0.8,0.5,1,0.5,2,3,5,0,0,0,0.5,0.5,4.5,
337,Garrison Mathews,29,IND,SG,8,1,13.3,1.1,3,0.375,0.9,2.8,0.318,0.3,0.3,1,0.521,1.4,1.8,0.786,0.1,0.8,0.9,0.5,0.4,0.1,0.4,1.1,4.5,
338,Liam McNeeley,20,CHO,SF,17,0,13.8,1.3,3.6,0.361,0.8,2.3,0.359,0.5,1.3,0.364,0.475,1.1,1.2,0.857,0.5,1.9,2.4,0.8,0.2,0.1,0.6,1.6,4.5,
339,Keaton Wallace,26,ATL,PG,22,2,15.1,1.6,4,0.409,1,2.5,0.411,0.6,1.5,0.406,0.54,0.2,0.5,0.5,0,1.5,1.6,2.9,0.7,0.1,0.8,1.4,4.5,
340,Cam Christie,20,LAC,SG,16,0,11.5,1.3,3.8,0.344,0.6,1.8,0.31,0.8,2,0.375,0.418,1.3,1.8,0.714,0.5,1.8,2.3,0.6,0.4,0.1,0.4,0.7,4.4,
341,Spencer Jones,24,DEN,SF,18,7,15.4,1.6,2.8,0.569,0.7,1.5,0.444,0.9,1.3,0.708,0.686,0.5,0.8,0.643,1.2,0.8,2.1,0.7,0.5,0.2,0.6,2.2,4.4,
342,Pat Connaughton,33,CHO,SG,12,0,9.7,1.5,3.1,0.486,0.8,2,0.375,0.8,1.1,0.692,0.608,0.5,0.8,0.667,0.3,1.6,1.9,0.6,0.4,0.1,0.3,0.4,4.3,
343,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,0.611,0,0,,1.6,2.6,0.611,0.611,1.1,1.4,0.8,2,3.3,5.3,1.9,0.6,1.6,1.4,3,4.3,
344,Olivier-Maxence Prosper,23,MEM,PF,12,0,9.9,1.3,2.9,0.429,0.1,0.8,0.111,1.2,2.2,0.538,0.443,1.7,1.8,0.909,0.8,1.7,2.4,0.5,0.2,0.1,0.4,0.7,4.3,
345,Javon Small,23,MEM,PG,8,0,12.4,1.3,3.5,0.357,0.8,2.4,0.316,0.5,1.1,0.444,0.464,1,1.3,0.8,0.1,0.9,1,2.8,0,0.1,1,0.9,4.3,
346,Ethan Thompson,26,IND,SG,3,0,14.7,1.7,2.7,0.625,1,2,0.5,0.7,0.7,1,0.813,0,0,,0,0.7,0.7,1.3,0.3,0.7,0,1.7,4.3,
347,Eric Gordon,37,PHI,SG,5,0,11.4,1.6,2.6,0.615,1,1.6,0.625,0.6,1,0.6,0.808,0,0,,0.2,0.2,0.4,0.6,0.6,0,0.6,0.4,4.2,
348,Kelly Olynyk,34,SAS,C,12,0,10.8,1.3,2.7,0.5,0.4,1.3,0.313,0.9,1.3,0.688,0.578,1.1,1.4,0.765,0.8,1.8,2.6,1.6,0.3,0,0.9,1.8,4.2,
349,Antonio Reeves,25,CHO,SG,5,0,10,1.6,3.2,0.5,1,2,0.5,0.6,1.2,0.5,0.656,0,0,,0.2,0.8,1,0.4,0.2,0,0,0.6,4.2,
