Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
162,Quenton Jackson,27,IND,PG,5,3,101,21.3,0.657,0.324,0.486,5,13.2,8.9,29.1,2.4,0.9,11.8,21,0.3,0.1,0.4,0.19,3.1,2.1,5.2,0.2,
163,Jaxson Hayes,25,LAL,C,19,2,325,15.4,0.732,0.017,0.417,9.3,18.2,13.9,8.3,1,3.6,11.3,10.7,0.8,0.3,1.1,0.16,0.2,0,0.2,0.2,
164,Daniel Gafford,27,DAL,C,15,12,343,16.9,0.664,0,0.524,10.5,18.8,14.7,8.2,1.9,5.1,17.2,15,0.5,0.6,1.1,0.156,-2,2.2,0.1,0.2,
165,Tim Hardaway Jr.,33,DEN,SG,22,1,545,13.7,0.626,0.657,0.177,1.1,7.6,4.6,7.6,0.9,0.3,3.2,17.2,1.1,0.2,1.3,0.117,1.6,-2.3,-0.7,0.2,
166,Jalen Smith,25,CHI,C,18,0,307,18.6,0.608,0.558,0.167,11.7,23.9,18,10.8,0.8,3.3,10.8,22.5,0.4,0.3,0.8,0.118,1.6,-1.4,0.2,0.2,
167,Trendon Watford,25,PHI,PF,14,4,286,15.3,0.618,0.205,0.341,5.7,19.7,12.7,25.3,1,1,17.2,17.9,0.5,0.3,0.8,0.133,-0.6,0.9,0.2,0.2,
168,Mitchell Robinson,27,NYK,C,14,9,239,17.9,0.577,0,0.486,27.3,25.2,26.3,5.7,2.2,5.3,19.1,9.2,0.5,0.4,0.9,0.189,0.9,-0.2,0.7,0.2,
169,Matisse Thybulle,28,POR,SG,4,0,49,21.4,0.85,0.6,0.4,0,9.2,4.4,8.5,9.6,0,7.8,10.4,0.2,0.1,0.3,0.269,0.5,10.5,11,0.2,
170,Cooper Flagg,19,DAL,SF,23,23,772,14.4,0.55,0.252,0.267,3.8,16.1,10,15.5,1.8,1.5,12.6,22.5,0,1.1,1.1,0.066,-1.7,0.6,-1.2,0.2,
171,Caris LeVert,31,DET,SG,17,0,345,12.6,0.569,0.475,0.342,1.3,7.5,4.4,19.8,1.5,2.3,14.8,19.2,0.2,0.4,0.6,0.082,-0.1,-0.1,-0.2,0.2,
172,Pat Spencer,29,GSW,PG,15,0,211,15.8,0.534,0.284,0.222,6.1,10.5,8.3,30.5,2.3,0.4,10.1,19.8,0.4,0.2,0.6,0.137,-0.3,1.2,0.9,0.2,
173,Kyle Anderson,32,UTA,SF,8,0,146,16.9,0.581,0.022,0.333,5.2,11.4,8.2,26.3,3.9,2,11.9,16.4,0.3,0.1,0.4,0.127,-0.5,2.6,2.1,0.2,
174,Kevin Love,37,UTA,PF,13,0,188,15.5,0.612,0.745,0.327,9.7,24.2,16.9,17.1,1,2.6,13.7,15.9,0.3,0.1,0.5,0.116,1.2,0.1,1.3,0.2,
175,Sam Hauser,28,BOS,PF,23,4,510,10.1,0.523,0.864,0.026,3.7,13.2,8.4,8.4,1.5,1,6.6,14.1,0.4,0.4,0.8,0.079,-0.4,-0.5,-0.9,0.1,
176,Pelle Larsson,24,MIA,SG,23,16,515,11.5,0.569,0.468,0.342,2.1,9.1,5.7,18.5,1.2,0.9,11.7,16.2,0.5,0.5,1.1,0.098,-1.6,0.7,-0.9,0.1,
177,David Jones García,24,SAS,SF,10,0,67,21.5,0.579,0.2,0.24,6.8,13.2,10,39.1,4.3,1.3,15.3,20.6,0.2,0.1,0.3,0.195,3,3.4,6.4,0.1,
178,Vit Krejci,25,ATL,PG,20,1,464,12.4,0.686,0.797,0.116,1.9,9,5.5,10.5,1.3,1.2,11,14.9,0.6,0.4,1,0.103,-0.3,-0.5,-0.8,0.1,
179,Dean Wade,29,CLE,PF,22,3,490,9.7,0.517,0.743,0.219,4.1,14.5,9.2,9.4,1.6,2.4,5.7,10.3,0.4,0.6,1,0.096,-2,1.1,-0.9,0.1,
180,Deandre Ayton,27,LAL,C,20,20,588,19.2,0.701,0,0.167,12,23,17.8,4.6,1.2,3.6,16.1,19.2,1,0.6,1.6,0.133,0.1,-1.2,-1.1,0.1,
181,Moses Moody,23,GSW,SG,21,13,533,12.1,0.576,0.689,0.224,3.4,10.6,7,8.4,1.8,2.6,11.1,19.2,0.2,0.6,0.8,0.076,-0.9,-0.2,-1.1,0.1,
