,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
54,Coastal Carolina,14,8,6,0.571,-8.72,-5.02,,1,1,,3,0,,4,6,,1019,990,,72.1,100.1,0.29,0.409,0.503,51,45,7.2,8.7,0.471,12.2,25.4,0.203
55,Colgate,12,6,6,0.5,-1.09,3.91,,,,,2,1,,1,5,,912,883,,67.4,110.5,0.222,0.342,0.576,47.5,51.4,9,9,0.556,13.7,25.9,0.162
56,College of Charleston,13,7,6,0.538,-0.92,-0.17,,,,,4,2,,1,2,,980,968,,69.1,109.1,0.438,0.409,0.535,50.5,47.4,8.7,11.9,0.488,12.6,31.6,0.317
57,Colorado,12,10,2,0.833,11.52,1.85,,,,,8,0,,0,1,,1036,920,,70.4,121.4,0.425,0.304,0.607,53.9,56.5,9.3,10,0.57,12.8,33.4,0.32
58,Colorado State,12,9,3,0.75,10.41,2.68,,0,1,,6,1,,1,1,,1001,866,,65.2,128,0.375,0.494,0.669,53.8,64,8.2,4.5,0.637,15.3,31.3,0.302
59,Columbia,12,9,3,0.75,3.18,-4.73,,,,,6,0,,3,3,,942,807,,68.3,113.7,0.275,0.38,0.575,58.9,55,8.7,9.4,0.552,17,39.5,0.196
60,Connecticut,13,12,1,0.923,25.98,8.59,,2,0,,7,1,,2,0,,1020,794,,67.5,116.3,0.306,0.364,0.58,54.2,62.1,10.6,17.1,0.558,13.7,34.1,0.214
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coppin State,16,2,14,0.125,-29.88,-3.42,,,,,1,0,,1,11,,1037,1393,,71.1,91.1,0.333,0.343,0.487,45.8,53.7,9.2,8.9,0.445,18.9,29.4,0.237
62,Cornell,11,6,5,0.545,-2.52,-4.22,,,,,3,0,,3,5,,994,933,,74,119.4,0.301,0.54,0.626,51.2,68.8,8,7,0.606,15.5,30.3,0.219
63,Creighton,13,8,5,0.615,15.01,6.93,,2,0,,6,1,,1,2,,1020,915,,69.1,113.5,0.258,0.491,0.575,51.6,61.9,9.1,7,0.55,14.5,30.9,0.191
64,Dartmouth,11,5,6,0.455,-8.44,-5.94,,,,,3,2,,2,4,,841,821,,70.8,108,0.386,0.517,0.572,53.2,58.2,6.7,9.9,0.537,18.1,31.7,0.28
65,Davidson,12,8,4,0.667,5.12,2.85,,,,,6,2,,1,1,,888,829,,66.3,111.6,0.376,0.426,0.573,50.6,54.5,10.8,9.6,0.549,14.5,28.9,0.253
66,Dayton,13,9,4,0.692,9.15,-0.16,,,,,7,1,,1,1,,1035,914,,70.2,111.3,0.481,0.438,0.577,49.4,57,13.2,13.4,0.533,14.6,27.3,0.352
67,Delaware,11,4,7,0.364,-9.24,-4.34,,,,,2,3,,1,3,,752,810,,67.4,100.3,0.25,0.433,0.552,48.2,57,8.8,10.3,0.525,17.9,23.3,0.186
68,Delaware State,14,5,9,0.357,-22.56,-5.86,,,,,4,1,,1,7,,866,1005,,68,90.1,0.251,0.273,0.467,47.8,49.7,12.8,5.5,0.438,16,26.4,0.17
69,Denver,15,7,8,0.467,-4.54,5.88,,,,,4,2,,3,6,,1262,1279,,70.3,119.7,0.363,0.378,0.599,49.2,40.1,6.9,5.6,0.564,13.5,31.9,0.277
70,DePaul,13,8,5,0.615,4.55,-1.14,,0,2,,6,3,,1,1,,971,897,,70,106.8,0.425,0.39,0.549,48.9,64.1,10.4,8.6,0.512,15,29,0.295
71,Detroit Mercy,12,5,7,0.417,-11.78,-2.68,,2,1,,3,1,,2,6,,910,932,,71.2,106.5,0.331,0.339,0.514,52.2,46.7,8.2,7.9,0.471,13.6,35.4,0.248
72,Drake,13,7,6,0.538,2.91,-1.19,,1,1,,3,4,,2,1,,1028,899,,67.5,116,0.32,0.433,0.579,51.4,54,8.4,10.4,0.546,12.2,28.1,0.241
73,Drexel,13,6,7,0.462,-10.53,-9.53,,,,,5,2,,1,3,,932,910,,68.1,105.4,0.302,0.408,0.526,52.5,56.8,10.4,11.4,0.505,16,35.2,0.195
74,Duke,12,11,1,0.917,29.7,5.12,,,,,6,0,,2,0,,1046,751,,70.9,123,0.414,0.467,0.611,57.1,61.9,11.1,13,0.586,13.6,36.6,0.291
75,Duquesne,12,7,5,0.583,2.12,-3.24,,,,,7,1,,0,3,,1023,943,,73.8,114.4,0.391,0.436,0.604,51.4,58.5,10.1,7.1,0.579,17.1,30.6,0.275
76,East Carolina,13,5,8,0.385,-10.05,-0.05,,,,,5,3,,0,3,,872,991,,70.3,95.4,0.409,0.32,0.483,51,46.5,10,9.5,0.432,16.7,34.3,0.29
77,East Tennessee State,13,8,5,0.615,2.16,-4.66,,,,,7,1,,1,4,,1021,878,,68.8,114.2,0.304,0.411,0.58,51.3,54,14,13.2,0.555,14.4,31.4,0.218
78,East Texas A&M,12,6,6,0.5,-10.74,1.86,,1,1,,3,0,,2,6,,927,923,,73.9,104.5,0.307,0.466,0.557,48.2,66.4,10.8,8.4,0.53,17,26.7,0.216
79,Eastern Illinois,12,4,8,0.333,-11.22,5.48,,1,1,,4,2,,0,6,,795,896,,67.9,96.5,0.324,0.319,0.519,47.5,53.8,10,10.1,0.478,18.1,27.9,0.241
80,Eastern Kentucky,13,4,9,0.308,-8.51,2.59,,,,,2,4,,2,5,,1028,1033,,73.1,108.2,0.291,0.502,0.528,51,50.3,10.4,10.6,0.495,14.7,34.5,0.212
,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Eastern Michigan,13,6,7,0.462,-3.51,0.99,,0,1,,4,1,,2,6,,927,943,,69.4,102.8,0.305,0.305,0.523,50.4,50,9.9,8.7,0.49,15.1,30.8,0.217
82,Eastern Washington,13,2,11,0.154,-6.69,4.4,,,,,2,1,,0,9,,1010,1125,,71.3,107,0.309,0.371,0.556,48.3,46.6,9,6.7,0.528,16.2,30.4,0.218
83,Elon,13,8,5,0.615,0.4,-2.06,,,,,5,2,,3,3,,1116,1007,,69.3,121.6,0.344,0.441,0.581,53.6,52.3,10.4,10.8,0.55,12.8,39.2,0.253
84,Evansville,13,4,9,0.308,-4.95,5.6,,0,2,,3,4,,0,3,,902,947,,68.9,100.7,0.372,0.432,0.526,48.9,57.8,8.7,12.2,0.487,16.1,28.4,0.263
85,Fairfield,13,8,5,0.615,-9.29,-8.54,,0,2,,5,1,,3,4,,1012,958,,69.9,110.2,0.255,0.374,0.521,53.7,41.9,9.5,9.9,0.491,12,35.7,0.185
86,FDU,12,3,9,0.25,-19.82,-0.93,,,,,3,2,,0,7,,851,897,,68.5,103.5,0.264,0.503,0.515,52.3,55.3,7.1,7.4,0.49,15.8,34.6,0.18
87,Florida,12,8,4,0.667,21.72,7.64,,,,,5,0,,0,1,,1012,843,,73.1,115.4,0.42,0.425,0.555,60.1,53.3,8.1,12.1,0.516,15.2,43.8,0.299
